"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Customer__c","Payment_Status__c","Service_Date__c"
"a070Y000003rQeXQAU","0","INV-0002","2017-05-02 06:52:25","0050Y000000Gl4VQAS","2017-05-02 13:35:01","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQKpQAO","Paid by Cash","2017-04-07 00:00:00"
"a070Y000003rRCqQAM","0","INV-0003","2017-05-02 13:32:20","0050Y000000Gl4VQAS","2017-05-02 13:32:20","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqTQAW","Pending","2017-04-07 00:00:00"
"a070Y000003rRCvQAM","0","INV-0004","2017-05-02 13:35:39","0050Y000000Gl4VQAS","2017-05-02 13:35:39","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQMlQAO","Paid by Card","2017-05-03 00:00:00"
"a070Y000003rRDKQA2","0","INV-0005","2017-05-02 13:44:33","0050Y000000Gl4VQAS","2017-05-02 13:44:33","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQHgQAO","Pending","2017-05-15 00:00:00"
"a070Y000003rRDUQA2","0","INV-0006","2017-05-02 13:46:10","0050Y000000Gl4VQAS","2017-05-02 13:46:10","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLYQA4","Paid by Cash","2017-05-01 00:00:00"
"a070Y000003rRDZQA2","0","INV-0007","2017-05-02 13:49:05","0050Y000000Gl4VQAS","2017-05-02 13:49:05","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTr3QAG","Paid by Card","2017-04-18 00:00:00"
"a070Y000003rRDeQAM","0","INV-0008","2017-05-02 13:51:39","0050Y000000Gl4VQAS","2017-05-02 13:51:39","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqgQAG","Paid by Cash","2017-05-04 00:00:00"
"a070Y000003rRDjQAM","0","INV-0009","2017-05-02 13:53:06","0050Y000000Gl4VQAS","2017-05-02 13:53:06","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqPQAW","Paid by Cash","2017-04-08 00:00:00"
"a070Y000003rRDoQAM","0","INV-0010","2017-05-02 13:53:56","0050Y000000Gl4VQAS","2017-05-02 13:53:56","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQMCQA4","Pending","2017-04-30 00:00:00"
"a070Y000003rRDyQAM","0","INV-0011","2017-05-02 13:55:29","0050Y000000Gl4VQAS","2017-05-02 13:55:29","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QQLnQAO","Paid by Card","2017-04-27 00:00:00"
"a070Y000003rRE3QAM","0","INV-0012","2017-05-02 13:56:42","0050Y000000Gl4VQAS","2017-05-02 13:56:42","0050Y000000Gl4VQAS","2017-05-17 20:03:37","","a060Y000005QTqqQAG","Paid by Cash","2017-04-04 00:00:00"
